	Steps	Time [s]	[A] Probe1_Carrier_center [°C]	[B] Probe2_Carrier_corner1 [°C]	[C] Probe3_GuideRail_top [°C]	[D] Probe4_GuideRail_middle [°C]	[E] Probe5_GuideRail_bottom [°C]	[F] Probe6_MotorBase_front [°C]	[G] Probe7_MotorBase_side [°C]	[H] Probe8_MotorBase_corner [°C]	[I] Probe11_Structure_front_1 [°C]	[J] Probe12_Structure_front_2 [°C]	[K] Probe13_Structure_front_3 [°C]	[L] Probe14_Structure_front_4 [°C]	[M] Probe15_Structure_lateral_1 [°C]	[N] Probe16_Structure_lateral_2 [°C]	[O] Probe18_Structure_lateral_4 [°C]	[P] Probe19_Structure_lateral_5 [°C]	[Q] Probe20_Structure_top_1 [°C]	[R] Probe21_Structure_top_2 [°C]	[S] Probe22_Structure_top_3 [°C]	[T] Probe23_Structure_top_4 [°C]	[U] Probe24_Structure_back_1 [°C]	[V] Probe25_Structure_back_2 [°C]	[W] Probe26_Structure_back_3 [°C]	[X] Probe27_Structure_back_4 [°C]	[Y] Probe28_Structure_back_5 [°C]	[Z] Probe29_Structure_back_6 [°C]	[AA] Probe9_Temperature_BearingTop [°C]	[AB] Probe10_Temperature_BearingBottom [°C]	[AC] Probe17_Temperature_Structure_lateral_3 [°C]	
1	1	1,	20,026	20,079	20,042	20,139	20,042	20,213	20,211	20,21	20,017	20,	20,027	20,026	20,027	20,027	20,027	20,026	20,054	20,027	20,052	20,017	20,	20,013	20,015	20,014	20,017	20,018	20,006	20,013	20,027	
2	1	2,	20,043	20,127	20,064	20,213	20,064	20,326	20,325	20,325	20,029	20,001	20,042	20,033	20,043	20,043	20,043	20,042	20,085	20,043	20,083	20,025	20,	20,021	20,025	20,023	20,028	20,031	20,013	20,027	20,043	
3	1	3,	20,054	20,161	20,081	20,271	20,081	20,408	20,408	20,408	20,037	20,002	20,053	20,034	20,054	20,055	20,055	20,054	20,108	20,054	20,105	20,032	20,	20,028	20,032	20,03	20,039	20,036	20,021	20,04	20,054	
4	1	4,	20,064	20,189	20,096	20,322	20,097	20,475	20,476	20,476	20,045	20,003	20,062	20,029	20,063	20,064	20,066	20,063	20,127	20,063	20,123	20,04	20,	20,035	20,039	20,037	20,051	20,039	20,028	20,052	20,064	
5	1	5,	20,072	20,213	20,11	20,368	20,111	20,534	20,535	20,536	20,051	20,004	20,069	20,019	20,07	20,073	20,075	20,072	20,144	20,071	20,138	20,047	20,	20,041	20,047	20,044	20,062	20,038	20,036	20,065	20,072	
6	1	6,	20,079	20,234	20,123	20,413	20,125	20,587	20,589	20,59	20,056	20,006	20,076	20,003	20,076	20,082	20,085	20,08	20,16	20,079	20,152	20,054	20,	20,048	20,054	20,05	20,073	20,034	20,044	20,077	20,08	
7	1	7,	20,085	20,253	20,136	20,455	20,139	20,637	20,638	20,64	20,061	20,007	20,081	19,983	20,082	20,09	20,094	20,088	20,174	20,086	20,165	20,062	20,	20,054	20,061	20,057	20,084	20,027	20,052	20,089	20,088	
8	1	8,	20,092	20,272	20,148	20,496	20,153	20,683	20,685	20,687	20,065	20,009	20,087	19,96	20,085	20,098	20,102	20,096	20,188	20,092	20,178	20,069	20,	20,061	20,067	20,063	20,095	20,018	20,06	20,101	20,095	
9	1	9,	20,098	20,289	20,161	20,535	20,166	20,727	20,729	20,732	20,07	20,01	20,092	19,935	20,088	20,106	20,111	20,103	20,202	20,099	20,19	20,076	20,	20,067	20,074	20,069	20,106	20,007	20,069	20,113	20,102	
10	1	10,	20,103	20,305	20,172	20,574	20,18	20,769	20,77	20,774	20,074	20,012	20,096	19,91	20,09	20,114	20,12	20,111	20,215	20,105	20,201	20,083	20,	20,074	20,081	20,075	20,117	19,996	20,077	20,125	20,109	
11	1	11,	20,109	20,321	20,184	20,611	20,193	20,81	20,81	20,815	20,078	20,014	20,1	19,884	20,09	20,122	20,129	20,119	20,227	20,111	20,213	20,09	20,	20,08	20,088	20,081	20,127	19,984	20,085	20,137	20,116	
12	1	12,	20,114	20,336	20,196	20,647	20,206	20,85	20,849	20,854	20,081	20,016	20,105	19,858	20,089	20,13	20,138	20,127	20,24	20,117	20,224	20,097	20,	20,087	20,095	20,087	20,138	19,972	20,094	20,149	20,123	
13	1	13,	20,119	20,351	20,207	20,682	20,219	20,888	20,886	20,892	20,085	20,017	20,109	19,833	20,087	20,138	20,146	20,135	20,252	20,123	20,234	20,104	20,	20,093	20,101	20,092	20,148	19,959	20,102	20,161	20,13	
14	1	14,	20,125	20,365	20,218	20,717	20,232	20,926	20,922	20,929	20,088	20,019	20,112	19,808	20,084	20,146	20,155	20,143	20,263	20,128	20,245	20,111	20,	20,099	20,108	20,097	20,159	19,947	20,111	20,172	20,136	
15	1	15,	20,13	20,379	20,229	20,751	20,245	20,963	20,957	20,964	20,092	20,021	20,116	19,784	20,08	20,154	20,164	20,152	20,275	20,134	20,255	20,118	20,	20,106	20,114	20,101	20,169	19,934	20,12	20,184	20,143	
16	1	16,	20,135	20,392	20,24	20,783	20,258	21,	20,991	20,999	20,095	20,023	20,12	19,761	20,075	20,162	20,173	20,16	20,286	20,14	20,266	20,125	20,	20,112	20,121	20,106	20,179	19,922	20,128	20,196	20,15	
17	1	17,	20,14	20,406	20,251	20,816	20,271	21,037	21,025	21,034	20,098	20,025	20,123	19,739	20,069	20,17	20,181	20,169	20,297	20,145	20,276	20,133	20,	20,118	20,128	20,11	20,19	19,911	20,137	20,207	20,157	
18	1	18,	20,144	20,419	20,262	20,847	20,283	21,073	21,058	21,068	20,101	20,027	20,127	19,717	20,063	20,179	20,19	20,177	20,308	20,151	20,286	20,14	20,	20,124	20,134	20,113	20,2	19,899	20,146	20,219	20,164	
19	1	19,	20,149	20,431	20,273	20,878	20,296	21,109	21,09	21,101	20,104	20,029	20,13	19,696	20,055	20,187	20,199	20,186	20,319	20,157	20,296	20,148	20,	20,131	20,141	20,117	20,21	19,888	20,154	20,23	20,171	
20	1	20,	20,154	20,444	20,284	20,908	20,308	21,145	21,122	21,133	20,107	20,031	20,133	19,675	20,048	20,195	20,208	20,194	20,33	20,162	20,306	20,155	20,	20,137	20,147	20,12	20,22	19,877	20,163	20,242	20,178	
21	1	21,	20,159	20,456	20,295	20,938	20,321	21,181	21,153	21,165	20,11	20,034	20,136	19,656	20,04	20,204	20,216	20,203	20,34	20,168	20,316	20,163	20,	20,143	20,154	20,122	20,229	19,866	20,172	20,253	20,185	
22	1	22,	20,164	20,468	20,305	20,967	20,333	21,217	21,184	21,197	20,113	20,036	20,14	19,637	20,031	20,212	20,225	20,212	20,35	20,173	20,325	20,171	20,	20,149	20,16	20,125	20,239	19,856	20,18	20,265	20,191	
23	1	23,	20,168	20,48	20,316	20,995	20,345	21,252	21,215	21,229	20,116	20,038	20,143	19,619	20,022	20,22	20,234	20,221	20,361	20,179	20,335	20,179	20,001	20,156	20,167	20,127	20,249	19,846	20,189	20,276	20,198	
24	1	24,	20,173	20,492	20,326	21,023	20,357	21,288	21,245	21,26	20,119	20,04	20,146	19,601	20,013	20,228	20,242	20,23	20,371	20,185	20,344	20,187	20,001	20,162	20,173	20,129	20,259	19,837	20,198	20,287	20,205	
25	1	25,	20,178	20,504	20,337	21,051	20,369	21,323	21,275	21,291	20,121	20,042	20,149	19,584	20,004	20,237	20,251	20,238	20,381	20,19	20,354	20,195	20,001	20,168	20,179	20,131	20,268	19,827	20,207	20,299	20,212	
26	1	26,	20,182	20,515	20,347	21,078	20,381	21,359	21,305	21,321	20,124	20,045	20,152	19,568	19,994	20,245	20,259	20,247	20,391	20,196	20,363	20,204	20,001	20,174	20,186	20,132	20,278	19,819	20,216	20,31	20,219	
27	1	27,	20,187	20,527	20,358	21,104	20,392	21,394	21,334	21,351	20,127	20,047	20,156	19,552	19,984	20,253	20,268	20,256	20,4	20,201	20,372	20,212	20,001	20,18	20,192	20,134	20,287	19,81	20,224	20,321	20,226	
28	1	28,	20,191	20,538	20,368	21,13	20,404	21,429	21,363	21,381	20,129	20,049	20,159	19,537	19,975	20,261	20,276	20,265	20,41	20,207	20,381	20,22	20,001	20,186	20,198	20,135	20,297	19,802	20,233	20,332	20,232	
29	1	29,	20,196	20,549	20,378	21,156	20,415	21,465	21,392	21,411	20,132	20,052	20,162	19,523	19,965	20,27	20,285	20,274	20,42	20,212	20,391	20,229	20,001	20,192	20,205	20,136	20,306	19,794	20,242	20,344	20,239	
30	1	30,	20,201	20,56	20,389	21,181	20,426	21,5	21,421	21,441	20,135	20,054	20,165	19,508	19,955	20,278	20,293	20,283	20,429	20,218	20,4	20,237	20,001	20,199	20,211	20,137	20,316	19,786	20,251	20,355	20,246	
31	1	31,	20,205	20,571	20,399	21,205	20,437	21,535	21,449	21,471	20,137	20,057	20,168	19,495	19,945	20,286	20,302	20,292	20,439	20,223	20,409	20,246	20,001	20,205	20,217	20,137	20,325	19,778	20,259	20,366	20,253	
32	1	32,	20,21	20,582	20,409	21,23	20,448	21,571	21,478	21,5	20,14	20,059	20,171	19,481	19,935	20,295	20,31	20,301	20,448	20,229	20,418	20,255	20,002	20,211	20,224	20,138	20,334	19,771	20,268	20,377	20,26	
33	1	33,	20,214	20,593	20,419	21,253	20,459	21,606	21,506	21,529	20,143	20,062	20,174	19,469	19,925	20,303	20,318	20,31	20,457	20,234	20,426	20,264	20,002	20,217	20,23	20,138	20,343	19,764	20,277	20,388	20,267	
34	1	34,	20,219	20,603	20,429	21,277	20,47	21,641	21,534	21,558	20,145	20,064	20,178	19,456	19,915	20,311	20,327	20,319	20,466	20,24	20,435	20,273	20,002	20,223	20,236	20,138	20,353	19,757	20,286	20,399	20,273	
