	Steps	Time [s]	[A] Probe1_Heat Flux_Carrier_center  (Total) [W/m²]	[B] Probe2_Heat Flux_Carrier_corner1  (Total) [W/m²]	[C] Probe3_Heat Flux_GuideRail_top  (Total) [W/m²]	[D] Probe4_Heat Flux_GuideRail_middle  (Total) [W/m²]	[E] Probe5_Heat Flux_GuideRail_bottom  (Total) [W/m²]	[F] Probe6_Heat Flux_MotorBase_front  (Total) [W/m²]	[G] Probe7_Heat Flux_MotorBase_side  (Total) [W/m²]	[H] Probe8_Heat Flux_MotorBase_corner  (Total) [W/m²]	[I] Probe9_Heat Flux_BearingTop  (Total) [W/m²]	[J] Probe10_Heat Flux_BearingBottom  (Total) [W/m²]	[K] Probe11_Heat Flux_Structure_front_1  (Total) [W/m²]	[L] Probe12_Heat Flux_Structure_front_2  (Total) [W/m²]	[M] Probe13_Heat Flux_Structure_front_3  (Total) [W/m²]	[N] Probe14_Heat Flux_Structure_front_4  (Total) [W/m²]	[O] Probe15_Heat Flux_Structure_lateral_1  (Total) [W/m²]	[P] Probe16_Heat Flux_Structure_lateral_2  (Total) [W/m²]	[Q] Probe17_Heat Flux_Structure_lateral_3  (Total) [W/m²]	[R] Probe18_Heat Flux_Structure_lateral_4  (Total) [W/m²]	[S] Probe19_Heat Flux_Structure_lateral_5  (Total) [W/m²]	[T] Probe20_Heat Flux_Structure_top_1  (Total) [W/m²]	[U] Probe21_Heat Flux_Structure_top_2  (Total) [W/m²]	[V] Probe22_Heat Flux_Structure_top_3  (Total) [W/m²]	[W] Probe23_Heat Flux_Structure_top_4  (Total) [W/m²]	[X] Probe24_Heat Flux_Structure_back_1  (Total) [W/m²]	[Y] Probe25_Heat Flux_Structure_back_2  (Total) [W/m²]	[Z] Probe26_Heat Flux_Structure_back_3  (Total) [W/m²]	[AA] Probe27_Heat Flux_Structure_back_4  (Total) [W/m²]	[AB] Probe28_Heat Flux_Structure_back_5  (Total) [W/m²]	[AC] Probe29_Heat Flux_Structure_back_6  (Total) [W/m²]	
1	1	1,	532,64	959,89	1393,9	597,09	1403,5	352,5	357,84	339,66	41,448	329,07	319,77	22,665	643,2	644,19	589,01	587,42	588,71	589,22	604,3	907,94	589,51	802,18	550,51	0,2608	817,47	865,15	841,46	1030,9	1218,5	
2	1	2,	743,95	1301,4	1614,9	700,43	1621,	441,96	443,08	420,7	133,6	598,81	475,61	39,729	846,83	987,36	792,92	792,	792,73	793,29	816,32	1180,	793,17	1086,2	728,56	0,45307	934,56	992,08	961,83	1154,6	1544,	
3	1	3,	840,5	1442,7	1662,9	726,44	1667,6	469,88	469,34	442,52	241,81	763,82	559,15	51,69	920,44	1331,4	881,32	879,37	880,52	880,73	907,23	1273,	872,62	1204,7	782,75	1,0123	957,88	1017,	984,97	1185,6	2107,9	
4	1	4,	889,99	1508,4	1674,2	736,46	1677,6	481,2	480,43	449,14	341,92	865,67	609,13	60,682	951,07	1745,9	926,89	922,98	924,44	924,56	951,34	1309,3	907,83	1261,3	791,75	1,7964	962,51	1021,8	989,07	1212,8	2722,5	
5	1	5,	917,74	1541,6	1675,2	741,67	1678,1	486,95	486,72	451,43	425,41	932,59	642,49	68,294	965,29	2306,7	955,71	946,37	948,02	948,52	974,	1325,	924,95	1290,5	784,66	2,6644	962,7	1021,7	988,72	1244,4	3493,6	
6	1	6,	934,32	1559,2	1672,8	744,76	1675,4	490,38	491,09	452,35	490,57	979,18	666,87	75,128	972,45	2995,1	980,56	959,14	960,85	962,23	985,64	1332,	933,61	1306,	772,6	3,5337	961,8	1020,6	987,23	1278,4	4382,8	
7	1	7,	944,65	1568,5	1669,2	746,63	1671,7	492,66	494,5	452,8	538,43	1013,	685,93	81,416	976,27	3750,2	1010,7	965,98	967,64	970,35	991,26	1334,7	937,9	1314,2	759,77	4,3653	960,65	1019,1	985,4	1312,6	5305,3	
8	1	8,	951,24	1573,2	1665,	747,72	1667,6	494,28	497,34	453,07	570,93	1038,1	701,56	87,272	978,37	4514,	1054,5	969,47	970,93	975,35	993,53	1335,3	939,77	1318,1	747,69	5,1463	959,5	1017,7	983,57	1345,5	6193,8	
9	1	9,	955,48	1574,9	1660,7	748,29	1663,3	495,48	499,79	453,24	590,23	1057,	714,81	92,767	979,52	5246,6	1119,8	971,1	972,17	978,61	993,95	1334,5	940,24	1319,5	736,82	5,8762	958,41	1016,3	982,2	1376,5	7009,4	
10	1	10,	958,18	1574,8	1656,3	748,5	1659,1	496,4	501,96	453,35	598,36	1071,1	726,32	97,954	980,09	5925,1	1212,3	971,7	972,21	980,9	993,35	1332,9	939,88	1319,5	727,23	6,5604	957,4	1015,1	982,2	1405,1	7735,4	
11	1	11,	959,83	1573,5	1651,9	748,45	1654,8	497,1	503,91	453,41	597,12	1081,4	736,47	102,87	980,3	6538,9	1334,8	971,76	971,55	982,65	992,25	1330,7	939,02	1318,6	718,83	7,2059	956,49	1013,9	985,08	1431,4	8368,7	
12	1	12,	960,75	1571,4	1647,6	748,23	1650,7	497,65	505,67	453,44	588,1	1088,6	745,56	107,56	980,27	7085,3	1486,7	971,56	970,48	984,08	990,92	1328,2	937,86	1317,	711,47	7,8196	955,68	1012,8	992,98	1455,4	8913,7	
13	1	13,	961,16	1568,6	1643,2	747,88	1646,6	498,08	507,3	453,43	572,62	1093,3	753,77	112,03	980,06	7566,2	1664,5	971,25	969,16	985,32	989,52	1325,5	936,54	1315,1	705,04	8,4076	954,97	1011,7	1008,5	1477,2	9378,1	
14	1	14,	961,19	1565,5	1638,9	747,44	1642,5	498,42	508,8	453,39	551,83	1095,9	761,26	116,33	979,72	7986,2	1863,4	970,91	967,71	986,44	988,15	1322,6	935,11	1313,	699,41	8,9749	954,35	1010,8	1034,3	1497,	9771,	
15	1	15,	960,95	1562,1	1634,7	746,94	1638,5	498,69	510,2	453,33	526,77	1096,7	768,12	120,45	979,27	8350,6	2078,4	970,58	966,17	987,46	986,85	1319,7	933,64	1310,6	694,47	9,5252	953,83	1009,9	1073,	1515,	10101	
16	1	16,	960,5	1558,4	1630,4	746,4	1634,5	498,89	511,51	453,24	498,31	1096,	774,46	124,42	978,74	8665,5	2304,4	970,27	964,58	988,4	985,64	1316,6	932,15	1308,1	690,14	10,061	953,4	1009,1	1126,2	1531,3	10378	
17	1	17,	959,89	1554,7	1626,2	745,82	1630,5	499,06	512,74	453,14	467,33	1094,1	780,33	128,26	978,13	8936,5	2537,3	969,99	962,97	989,27	984,54	1313,5	930,66	1305,6	686,36	10,584	953,05	1008,4	1194,9	1546,1	10608	
18	1	18,	959,17	1550,8	1622,1	745,21	1626,5	499,18	513,91	453,03	434,64	1091,1	785,81	131,96	977,47	9168,8	2773,3	969,74	961,34	990,07	983,54	1310,4	929,18	1303,	683,06	11,096	952,79	1007,8	1278,9	1559,5	10798	
19	1	19,	958,37	1546,9	1618,	744,58	1622,6	499,28	515,02	452,91	401,14	1087,1	790,92	135,56	976,75	9367,3	3009,4	969,51	959,71	990,79	982,62	1307,2	927,73	1300,3	680,2	11,596	952,61	1007,2	1377,3	1571,8	10954	
20	1	20,	957,5	1542,9	1614,	743,94	1618,6	499,36	516,07	452,78	367,83	1082,5	795,71	139,04	975,98	9536,3	3243,4	969,3	958,07	991,43	981,79	1304,1	926,3	1297,6	677,74	12,085	952,5	1006,7	1488,5	1582,9	11080	
21	1	21,	956,58	1538,9	1609,9	743,28	1614,6	499,42	517,08	452,65	335,93	1077,2	800,22	142,41	975,16	9679,4	3473,2	969,1	956,44	992,	981,03	1301,	924,89	1294,9	675,65	12,561	952,47	1006,3	1610,7	1593,	11182	
22	1	22,	955,62	1534,9	1606,	742,62	1610,6	499,47	518,05	452,52	306,94	1071,3	804,47	145,7	974,31	9800,	3697,4	968,89	954,8	992,49	980,33	1297,9	923,52	1292,2	673,9	13,026	952,5	1005,9	1742,2	1602,2	11262	
23	1	23,	954,64	1530,9	1602,1	741,94	1606,6	499,5	518,98	452,39	282,79	1065,1	808,49	148,89	973,43	9900,9	3915,	968,69	953,16	992,9	979,68	1294,8	922,17	1289,4	672,48	13,478	952,6	1005,6	1881,	1610,6	11323	
24	1	24,	953,63	1526,9	1598,2	741,26	1602,5	499,53	519,88	452,25	265,71	1058,5	812,29	151,99	972,51	9984,6	4125,2	968,48	951,53	993,24	979,07	1291,7	920,85	1286,7	671,36	13,917	952,76	1005,3	2025,6	1618,3	11369	
25	1	25,	952,62	1522,9	1594,3	740,58	1598,4	499,55	520,74	452,12	257,89	1051,6	815,89	155,02	971,56	10053	4327,3	968,25	949,9	993,51	978,48	1288,6	919,55	1284,	670,54	14,342	952,98	1005,	2174,5	1625,3	11400	
26	1	26,	951,59	1518,9	1590,5	739,88	1594,3	499,57	521,57	451,99	260,84	1044,5	819,31	157,97	970,58	10109	4521,	968,02	948,27	993,7	977,9	1285,6	918,28	1281,2	670,	14,753	953,24	1004,8	2326,5	1631,7	11420	
27	1	27,	950,56	1515,	1586,8	739,18	1590,1	499,58	522,37	451,87	274,72	1037,2	822,57	160,84	969,58	10153	4706,2	967,76	946,65	993,82	977,34	1282,6	917,03	1278,5	669,73	15,15	953,56	1004,7	2480,3	1637,5	11429	
28	1	28,	949,53	1511,	1583,	738,48	1585,9	499,59	523,15	451,75	298,4	1029,8	825,67	163,65	968,55	10187	4882,6	967,48	945,02	993,88	976,78	1279,6	915,8	1275,8	669,71	15,532	953,92	1004,6	2635,2	1642,9	11430	
29	1	29,	948,5	1507,1	1579,3	737,77	1581,7	499,6	523,91	451,63	330,06	1022,4	828,63	166,38	967,5	10212	5050,4	967,18	943,4	993,88	976,21	1276,6	914,59	1273,1	669,95	15,9	954,32	1004,5	2790,1	1647,8	11422	
